Sample in Buffer,Sample in Window,TRIGGER,cpu/if_pc/ex_alu/data1[31:0],cpu/register_file/_register_reg[31]_31[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
439,439,0,bfaffff0,bfc00aa8
440,440,0,00000000,bfc00aa8
441,441,0,00000000,bfc00aa8
442,442,0,d1b00f72,bfc00aa8
443,443,0,ffffff01,bfc00aa8
444,444,0,ffff4051,bfc00aa8
445,445,0,bfae0010,bfc00aa8
446,446,0,bfaffff0,bfc00aa8
447,447,0,00000000,bfc00aa8
448,448,0,00000000,bfc00aa8
449,449,0,d1b00f73,bfc00aa8
450,450,0,ffffff01,bfc00aa8
451,451,0,ffff4051,bfc00aa8
452,452,0,bfae0010,bfc00aa8
453,453,0,bfaffff0,bfc00aa8
454,454,0,00000000,bfc00aa8
455,455,0,00000000,bfc00aa8
456,456,0,d1b00f74,bfc00aa8
457,457,0,ffffff01,bfc00aa8
458,458,0,ffff4051,bfc00aa8
459,459,0,bfae0010,bfc00aa8
460,460,0,bfaffff0,bfc00aa8
461,461,0,00000000,bfc00aa8
462,462,0,00000000,bfc00aa8
463,463,0,d1b00f75,bfc00aa8
464,464,0,ffffff01,bfc00aa8
465,465,0,ffff4051,bfc00aa8
466,466,0,bfae0010,bfc00aa8
467,467,0,bfaffff0,bfc00aa8
468,468,0,00000000,bfc00aa8
469,469,0,00000000,bfc00aa8
470,470,0,d1b00f76,bfc00aa8
471,471,0,ffffff01,bfc00aa8
472,472,0,ffff4051,bfc00aa8
473,473,0,bfae0010,bfc00aa8
474,474,0,bfaffff0,bfc00aa8
475,475,0,00000000,bfc00aa8
476,476,0,00000000,bfc00aa8
477,477,0,d1b00f77,bfc00aa8
478,478,0,ffffff01,bfc00aa8
479,479,0,ffff4051,bfc00aa8
480,480,0,bfae0010,bfc00aa8
481,481,0,bfaffff0,bfc00aa8
482,482,0,00000000,bfc00aa8
483,483,0,00000000,bfc00aa8
484,484,0,d1b00f78,bfc00aa8
485,485,0,ffffff01,bfc00aa8
486,486,0,ffff4051,bfc00aa8
487,487,0,bfae0010,bfc00aa8
488,488,0,bfaffff0,bfc00aa8
489,489,0,00000000,bfc00aa8
